game_id,team,uni_id,backbone,belly_button,back_shoulder_blade,belt,pants,number,helmet,socks
2017_03_DEN_BUF,DEN,2017_DEN_A.png,#ffffff,#ffffff,#fefefe,#02142c,#ffffff,#ffffff,#03182f,#03182e
2017_03_ATL_DET,ATL,2017_ATL_A.png,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000
2017_03_TB_MIN,TB,2017_TB_A2.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#cb0809,#323336,#525252
2017_03_NYG_PHI,NYG,2017_NYG_A.png,#fefefe,#ffffff,#ffffff,#aab3ac,#a9b3ac,#b20000,#000062,#b30000
2017_03_SEA_TEN,SEA,2017_SEA_B.png,#fefefe,#ffffff,#ffffff,#e5e0dd,#e3dfdb,#27445c,#0c2135,#24283b
2017_03_CIN_GB,CIN,2017_CIN_C.png,#ffffff,#ffffff,#fefaf9,#000000,#000000,#000000,#fb3012,#000000
2017_03_KC_LAC,KC,2017_KC_D.png,#c80417,#c80416,#c80417,#ffffff,#fefefe,#fefefe,#c80417,#c70416
2017_03_OAK_WAS,OAK,2017_OAK_A.png,#fefefe,#ffffff,#ffffff,#949494,#d1d7de,#000000,#bdc5d0,#000000
2017_03_DAL_ARI,DAL,2017_DAL_A.png,#fefefe,#ffffff,#ffffff,#8cbcb9,#8dbcb9,#002675,#b2bfcb,#002676
2017_04_CHI_GB,CHI,2017_CHI_M.png,#03182f,#02172f,#03182f,#02152c,#03182f,#03182f,#03182e,#dc4813
2017_04_NO_MIA,NO,2017_NO_B2.png,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000,#c7be8c,#000000
2017_04_DET_MIN,DET,2017_DET_A.png,#fefefe,#ffffff,#ffffff,#1864bb,#1b66bb,#497da6,#cbd1dc,#0761b0
2017_04_LA_DAL,LA,2017_LAR_G.png,#16223c,#16223c,#16223d,#131f3a,#16223c,#dec484,#071430,#15213c
2017_04_BUF_ATL,BUF,2017_BUF_B.png,#fefefe,#ffffff,#ffffff,#00308c,#00338d,#00328c,#f9f9eb,#00338c
2017_04_JAX_NYJ,JAX,2017_JAX_D.png,#000000,#000000,#000000,#000000,#000000,#fefefe,#be994b,#000000
2017_04_PIT_BAL,PIT,2017_PIT_A2.png,#fefefe,#ffffff,#ffffff,#fdd736,#fcd638,#fefefe,#000000,#000000
2017_04_CAR_NE,CAR,2017_CAR_A.png,#fefefe,#ffffff,#ffffff,#0087d5,#fefefe,#000000,#b5beca,#0087d4
2017_04_CIN_CLE,CIN,2017_CIN_E.png,#000000,#000000,#000000,#ffffff,#ffffff,#ffffff,#fb3012,#000000
2017_04_TEN_HOU,TEN,2017_TEN_B.png,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#03182f,#f9f9eb,#02172e
2017_04_NYG_TB,NYG,2017_NYG_C.png,#2a367e,#2a367e,#2a367d,#aab3ac,#a9b3ac,#fefefe,#000062,#2a357d
2017_04_PHI_LAC,PHI,2017_PHI_D.png,#265264,#255164,#265264,#000000,#fefefe,#fefefe,#003333,#000000
2017_04_SF_ARI,SF,2017_SF_A.png,#fefefe,#ffffff,#ffffff,#d2ad7c,#d1ad7d,#ba0814,#bf9e79,#bb0915
2017_04_OAK_DEN,OAK,2017_OAK_A.png,#fefefe,#ffffff,#ffffff,#949494,#d1d7de,#000000,#bdc5d0,#000000
2017_04_IND_SEA,IND,2017_IND_A.png,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#11346a,#f9f9eb,#12356a
2017_04_WAS_KC,WAS,2017_WAS_B.gif,#fefefe,#ffffff,#ffffff,#7f0000,#800000,#800000,#800000,#ffffff
